Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/web/dataset/call_kw/res.partner/search,4,4,169000.0,165409.77232275,153689.19170800006,169663.71174999996,0.0,0.022816976635866335,0.022816976635866335,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000
GET,Accounting Menu,3,0,280.0,236.5618193333224,89.60608299992145,344.25116700003855,8200.0,0.01711273247689975,0.0,280,280,340,340,340,340,340,340,340,340,340
POST,Create Partner,6,6,172000.0,171330.46239599996,166607.16704099992,173768.44295800003,0.0,0.0342254649537995,0.0342254649537995,173000,173000,173000,173000,174000,174000,174000,174000,174000,174000,174000
POST,Create Product,4,4,166000.0,155289.6161145,121294.48454199996,168649.94520800008,0.0,0.022816976635866335,0.022816976635866335,166000,166000,169000,169000,169000,169000,169000,169000,169000,169000,169000
POST,Fetch Partners Data,14,14,167000.0,164843.80734514288,143055.23645799997,173353.72191600004,0.0,0.07985941822553216,0.07985941822553216,168000,171000,172000,172000,173000,173000,173000,173000,173000,173000,173000
POST,Fetch Products Data,9,9,169000.0,167831.12911111105,159146.596875,173768.9167079999,0.0,0.05133819743069925,0.05133819743069925,169000,171000,172000,173000,174000,174000,174000,174000,174000,174000,174000
POST,Fetch Sales Orders,6,6,167000.0,167250.21014566664,161193.02141700007,170678.40499999988,0.0,0.0342254649537995,0.0342254649537995,169000,169000,171000,171000,171000,171000,171000,171000,171000,171000,171000
POST,Generate Report Count,1,1,156346.8761249999,156346.8761249999,156346.8761249999,156346.8761249999,0.0,0.005704244158966584,0.005704244158966584,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000
GET,Get Login Page,50,0,240.0,326.8253808600049,195.01037500003804,1044.5638329999838,8200.0,0.2852122079483292,0.0,240,320,410,430,700,710,1000,1000,1000,1000,1000
GET,Get Web Interface,50,0,230.0,263.5058625600004,201.95570900000348,489.4734590000098,8200.0,0.2852122079483292,0.0,230,230,240,310,420,420,490,490,490,490,490
POST,Heavy Data Load,1,1,171557.12883300008,171557.12883300008,171557.12883300008,171557.12883300008,0.0,0.005704244158966584,0.005704244158966584,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000,172000
GET,Inventory Menu,3,0,300.0,241.57158333332518,125.43674999994892,303.63537499999893,8200.0,0.01711273247689975,0.0,300,300,300,300,300,300,300,300,300,300,300
POST,Login,50,0,230.0,276.5578458400069,202.2378330000265,595.7052080000267,8394.4,0.2852122079483292,0.0,230,260,260,340,510,530,600,600,600,600,600
GET,Main Dashboard,10,0,110.0,168.7231957999984,81.49608300004729,365.2572500000133,8200.0,0.057042441589665836,0.0,130,150,230,320,370,370,370,370,370,370,370
GET,Sales Menu,9,0,110.0,166.60316222220848,77.6712919999909,300.662041999999,8200.0,0.05133819743069925,0.0,110,240,240,280,300,300,300,300,300,300,300
POST,Search with Filters,5,5,169000.0,166567.14925840008,158289.98050000006,169666.57891700004,0.0,0.028521220794832918,0.028521220794832918,169000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000
,Aggregated,225,50,240.0,37072.35697853333,77.6712919999909,173768.9167079999,6420.977777777778,1.2834549357674814,0.2852122079483292,240,410,560,158000,169000,172000,173000,173000,174000,174000,174000
